,tag,type,author,doi,journal,pages,title,volume,year,publisher,url,institution,number,mendeley-tags,booktitle,edition,month,address,editor,arc-citations,arc-source
0,Schmidt2003,article,"Schmidt, Anatoly B.",10.1016/S0378-4371(02)01551-0,Physica A: Statistical Mechanics and its Applications,535--538,{The true invariant of an arbitrage free portfolio},320,2003,,,,,,,,,,,0,mendeley
1,Bahnemann2015,book,"Bahnemann, David",,,,{Distributions for Actuaries},,2015,Casualty Actuarial Society Mongraphs No. 2,www.casact.org,,,,,,,,,0,mendeley
2,Khoshnevisan2011,techreport,"Khoshnevisan, Davar",,,,{Topics in Probability: Levy Processes},,2011,,,University of Utah,,,,,,,,0,mendeley
3,Mahul2003,article,"Mahul, Olivier",,Paper presented at the 2003 NBER Insurance Project Workshop,,{Efficient Risk Sharing within a Catastrophe Insurance Pool},,2003,,,,October,,,,,,,0,mendeley
4,Jiang2025,article,"Jiang, By John X. and Koo, David S. and Wang, Isabel Y.",,The International Journal of Accounting,,{The Road Not Taken: Evaluating the Consequences of the U.S.'s Non-Adoption of IFRS in 2012},,2025,,,,,PMIR,,,,,,0,mendeley
5,Goldberg2014,article,"Goldberg, L. R. and Mahmoud, Ola",,Available at SSRN 2430918,1--31,{On a Convex Measure of Drawdown Risk},,2014,,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2430918,,,,,,,,,0,mendeley
6,Lanczos1964,article,"Lanczos, C.",10.1017/CBO9781107415324.004,Journal of the society for Industrial and Applied Mathematics,86--96,{A precision approximation of the gamma function},1,1964,,,,1964,,,,,,,0,mendeley
7,Goldfarb2010,techreport,"Goldfarb, Richard",,,55,{Risk-Adjusted Performance Measurement for P&C Insurers},,2010,,http://www.casact.org/library/studynotes/goldfarb8.2.pdf,CAS,,"PART9,Risk Measures",,,,,,0,mendeley
8,ArrietaIIbarra2018,article,"{Arrieta IIbarra}, Imanol and Goff, Leonard and {Jiménez Hernández}, Diego and Lainier, Jaron and Weyl, Glen E.",10.1257/pandp.20181003,American Economic Association Papers and Proceedings,38--42,"{Should We Treat Data as Labor? Moving From ""free""}",108,2018,,https://ssrn.com/abstract=3093683,,54,,,,,,,0,mendeley
9,Acharya2016,article,"Acharya, Viral V. and Philippon, Thomas and Richardson, Matthew",,,1--29,{MEASURING SYSTEMIC RISK FOR INSURANCE COMPANIES},,2016,,,,i,,,,,,,0,mendeley
